Number,Word,Part of Speech,Definition,Alternative
1,sky,noun,"the space surrounding the earth.",""
2,wow,interjection,"used as an exclamation of happiness,""
3,hug,verb,"to put one's arms around and press tightly.",""
4,snap,verb,"to break apart or into pieces.",""
5,tape,noun,"a narrow strip of material coated on one side with a sticky mixture and used for many purposes.",""
6,sips,plural noun,"small tastes of a drink.",""
7,hard,adjective,"not easy.",""
8,why,adverb,"for what cause or reason.",""
9,first,adjective,"being number one in a series.",""
10,tide,noun,"the rising and falling of the surface of the ocean and other water bodies caused by gravity.",""
11,bow,noun,"a knot formed by doubling a string into two loops which can be drawn through the knot to untie it.",""
12,back,noun,"the rear part of the human body extending from the neck to the end of the spine.",""
13,find,verb,"to come upon (something) by looking carefully.",""
14,name,noun,"a specific word or phrase that is used to refer to a person or thing.",""
15,oops,interjection,"used to express mild apology,""
16,more,adjective,"additional.",""
17,toss,verb,"to throw gently often with an underhand motion.",""
18,chin,noun,"the lower portion of the face lying below the lower lip.",""
19,park,noun,"a piece of land maintained by a city or town as a place of beauty or play.",""
20,bike,verb,"to ride a vehicle that has two wheels one behind the other,""
21,nest,noun,"the place a bird builds for laying eggs and caring for its young.",""
22,rude,adjective,"offensive in manner or action : lacking courtesy or good manners.",""
23,deal,noun,"an offering of a combination of products at a special price.",""
24,store,noun,"a place where things are available to buy.",""
25,roads,plural noun,"the parts of streets over which cars and other traffic move.",""
26,cool,adjective,"moderately cold : lacking in warmth.",""
27,wake,verb,"to rouse from sleep.",""
28,vase,noun,"a vessel that is used most often for decoration or for flowers.",""
29,tune,noun,"a musical composition.",""
30,coat,noun,"an outer garment usually with long sleeves,""
31,four,adjective,"being one more than three in number.",""
32,block,noun,"a toy made of wood or plastic that is usually a cube and is used for building.",""
33,heap,noun,"a pile.",""
34,ladder,noun,"a usually portable structure for use in climbing up or down that consists of two parallel sidepieces joined by a series of crosspieces that serve as rests for the feet.",""
35,tug,verb,"to pull hard.",""
36,spoon,noun,"an eating or cooking implement consisting of a small shallow bowl with a handle.",""
37,spark,noun,"a small particle of a burning substance.",""
38,later,adverb,"at some time after a given time : afterward.",""
39,hair,noun,"the coating of individual slender threadlike fibers on a human head.",""
40,open,verb,"to move (as a door or lid) from its shut position.",""
41,this,pronoun,"the person or thing that is present or that has just been mentioned.",""
42,his,adjective,"relating to him as possessor or owner.",""
43,May,noun,"the fifth month of the calendar.",""
44,grid,noun,"a network of uniformly spaced horizontal and perpendicular lines.",""
45,wag,verb,"to move the tail to and fro or up and down.",""
46,near,preposition,"close to.",""
47,zip,verb,"to move or act with speed and usually with force,""
48,rug,noun,"a piece of thick heavy fabric that is used to cover part of a floor.",""
49,dots,plural noun,"small round marks made on a surface with a pointed instrument.",""
